word,trans,exp
"kisdare","【名詞】(音)器楽，インストゥルメンタル，無声歌
【関連】uegi","【語法】楽器による演奏．歌が乗っている場合はuegiというのが普通．
{a|オーケストラ}"
"ko","【名詞】食事",""
"koe","【動詞】食べる，(teeを省略して)食事する
【対義語】nume","{r}"
"koesk","【名詞】食べ物，食糧",""
"kogi","【名詞】空気，大気","【語法】惑星表面を覆っている気体，が原義．kogiという物体があるわけではなく，ある比率で様々な気体が混ざり合っているのがkogi．
{a}"
"korin","【記述詞】冷たい，涼しい，冷たく，涼しく
【類義語】siman
【対義語】uemin","【語法】気体，液体，固体の温度が低い状態を指す．基準は自分の感覚，つまり体温である場合が多い．価値判断はプラスである．
{a}"
"koritan","【記述詞】偉大な，素晴らしい","【語法】物理的な大きさではなく，権威，権限，尊厳的な素晴らしさを指す．
{a}"
"ku","【指示代名詞】(近称)これ","{r>}"
"kuen","【記述詞】(物理的に，体や構造が)強い，強力な
【類義語】huten
【対義語】vien","【語法】物理的に強い場合に用いる．かなり主観的な感覚で，強さの基準はカテゴリのプロトタイプであったり，話者本人であったりまちまちである．強く勧めるとか，強く思う，はhutenを用いることに注意．
{r|こわい}"
"kuenzina","【間投詞】(挨拶)(軍)おはよう，こんにちは，こんばんは
【類義語】aikarsem","【文化】軍隊における一般的挨拶．敬礼と共に使う場合が多い．軍隊では話し出しや話し終わりにも使える．その意味では，「以上！」や「よろしく」の意味も含んでいると言える．
{r|安全に気を付けて}"
"kui","【名詞】喉","【語法】首の内側の管の部分を指す．気管も食道も含む．
{a|声}"
"kun","【記述詞】(近称)この，こういう風に，こんな","{ku+n}"
"kune","【名詞】(凸の)角，カド
【対義語】keda","【語法】山折りの角を指す．記述詞が無ければ鋭角であることを想像するが，丸い角という言い方は可．
{r}"
"kuree","【動詞】(殺意をもって，明確な意図をもって)殺す
【類義語】kare
【対義語】igare","【語法】kareとの違いは殺す意図があるか否かであり，殺すつもりで殺した場合のみがkureeである．殴るつもりはあっても殺すつもりはなかった，の様な場合はkureeではなくkareを用いるべきである．災害などの無生物が主語になる場合，災害そのものに殺意はないのでkareを使う．
{r}"
"kuve","【指示代名詞】(近称)ここ","{ku+ve|場所}"
"ma-","【接頭辞】一の，ひとつの",""
"madee","【動詞】<状>中途半端にする，途中で放っておく","{maden>}"
"maden","【記述詞】中くらいの，半ばの，途中の，途上の，(大中小の)中の","【語法】副詞として用いる場合，途中段階であることを示す．
{a>i.s}"
"maden irdu","(軍)二等准尉",""
"madien","【名詞】(数)十万，100000","{a>i.s}"
"magen","【記述詞】新しすぎる，新しい
【類義語】erdesan，amin
【対義語】dutrin","【語法】新しいことを否定的にとらえた語．価値判断はマイナス．
{a>r|流行りに乗りやすい}"
"Mahre","【固有名詞】皇帝，天皇，帝
【関連】impara","【語法】ヴァリーゼル帝国の皇帝のことを指す単語．固有名詞扱い．
{r}"
"mak","【名詞】公務員，公人","【文化】makの原義は「聖職者」だったが，意味が拡大し社会の為の職務に就く人全般を指すようになった．
{r>i.s|聖職者>|公務員}"
"maksan","【記述詞】古風な，伝統的な，古めかしい，古い
【類義語】fadoan，dutrin
【対義語】amin","【語法】古いことを肯定的にとらえた語．価値判断はプラス．
{r}"
"man","【記述詞】全ての，全部の，すべての
【対義語】san","{u}"
"marada","【名詞】緑","{r>i.t}"
"mare","【動詞】見る，目をやる","【語法】行為動詞であることに注意．
{r}"
"marzek","【名詞】紫
【名詞】(蔑)伊国，伊国人
【対義語】badeh,s'are","【参照】dir
{r>i.s}"
"marzekin","【記述詞】紫色な，紫色に
【記述詞】伊国の","【参照】dir
{marzek+in}"
"me","【代名詞】(二人称単数親称)お前，君
【対義語】nara","{u}"
"meegie","【名詞】(略)眉毛，まゆ毛，まゆげ","{keinu+mee+kie>}"
"menge","【名詞】(軍)兵，兵隊","【文化】軍隊で一番の下っ端．下士官や士官と違い，分類が2階層に分かれていない．大中小に分類される．元は修道士を指す語．
{a>i.s}"
"mev","【名詞】東，回転方向
【対義語】enmev","【語法】原義は回転方向．星の回転方向に合わせて変わるので注意が必要．
{mevere>}"
"mevere","【動詞】回す，まわす，回転させる","【語法】その物体がくるくる回る場合．巡回するのはmuve
{r}"
"m'ezik","【名詞】音楽，演奏
【関連】uegi，kisdare","【語法】器楽，声楽などすべてを含んだ概念を指す語．「何をもって音楽とするか」はノイズミュージックやヒーリングミュージックとしての環境音を含むか否か等，話者の感覚による部分が大きい．
{a}"
"m'ezike","【動詞】演奏する，奏でる，弾く，叩く
【関連】uegie","【語法】楽器を演奏すること．打楽器，弦楽器，管楽器など楽器の形態は問わない．体を叩いて演奏するのもm'ezikeで良いが，声を使うとuegieになる．"
"mia","【名詞】主要部，主要なもの，メイン
【対義語】seb","{mian>}"
"mia-","【接頭辞】主要～，メイン～，正～
【類義語】ek-","【参照】ek-
{mian>}"
"miabizef","【名詞】(軍)中将",""
"miadagun","【名詞】(軍)中尉",""
"miageh","【名詞】(言)主格","{mia+keh}"
"miaminer","【名詞】主要都市，次点都市","【語法】大きな都市群を指す．政令指定都市の様な感じを想像すれば大体間違いはない．首都も含む．
{mia+miner}"
"mian","【記述詞】主の，メインの，主な，主に，主たる
【対義語】sebin","{a}"
"miavadasde","【名詞】(軍)中佐",""
"min","【疑問記述詞】～なの，～か","【語法】正確には該当する訳が存在しない．尋ねたい内容をminで修飾することで疑問文を作ることができる．
【用例】
tuf bavar.|これは自転車だ．
tuf min bavar?|これは自転車なの？
tun bavar rec.|この自転車は私の物だ．
tun bavar min rec?|この自転車は「あなたの物」なの？
min tun bavar rec?|「この自転車」があなたの物なの？"
"miner","【名詞】街，町，シティー","【語法】人が住む集落の最も基本的な姿．わざわざ別の語を使うのは，規模が大きいだとか，さびれているだとか言うニュアンスを付与したいときである．
{r|港>}"
"mineraves","【名詞】役所，町役場，市役所，区役所，市庁舎，都庁舎，県庁舎","【語法】通常街に一つの庁舎を指す，出張所もmineravesである．明確に市庁舎を区別したいときは，ekmineravesとする．
{miner+aves}"
"misava","【名詞】宇宙，宇宙空間","【語法】星と星の間の空間を指し，軌道上は基本的にイメージされない．定義上は軌道上も含む．
【文化】神話上では，ミサーヴァはティターフェイ神の悲しみと呪いの涙で満ち溢れた死の谷のこと．生物はミサーヴァの瘴気にあてられると瞬く間に死んでしまう．直接触れずとも，近くにいるだけで生気を吸い取られていき，やがては死に至る．これが生物に寿命を与えた．
{u}"
"mizer","【名詞】理論，手法，方法
【類義語】dukes","【参照】dukes
{a}"
"mo-","【接頭辞】～のない，～を欠いた，無～",""
"mod","【代名詞】(無人称)誰でもない，ノーバディ
【対義語】mong","{mo+dega>}"
"moidesin","【記述詞】心無い，冷酷な，(心が)冷たい，感情のない","{mo+idesin}"
"mong","【代名詞】(無人称)何でもない，ナッシング
【対義語】mod","{mo+nega>}"
"moverian","【記述詞】価値のない
【対義語】verian","{mo+verian}"
"mozon","【記述詞】複雑な，込み入った，入り組んだ
【対義語】sampan","{r}"
"muben","【記述詞】最後の，最後に
【対義語】mufan","{murtan behin>}"
"mufan","【記述詞】最初に，最初の
【対義語】muben",""
"mugide","【動詞】(物を)曲げる，屈折させる，(意見や論理等を)偏向する","【語法】本来まっすぐであるものを曲げるのが原義．なので，他人の意見の偏向や論理の偏向も含む．一方，自分の意見や信念を自分で曲げる際にはcinze|変えるを使う．
{r}"
"muv","【名詞】巡回，見回り","{i:muvsor>}"
"m'uve","【名詞】(軍)准士官","【文化】士官よりも下，下士官よりも上の階級．叩き上げの兵からなる最上位の階級．士官候補生は准士官に含まれる．元は異教徒や邪教の者を折伏する神々を指した語．
{r>i.s}"
"muve","【動詞】巡る，巡回する，見回る，定期的に行き来する","【語法】同じ場所を，義務的に何度も行き来すること．なので，旅行で同じ場所に何度も行く場合は不適切で，仕事の出張の場合は適切な用法である．
{r>i.s}"
"muze","【動詞】<状>持っている，所有している，所持している，ある，いる",""
"na","【名詞】(数)二，2","{r>i.s}"
"nah","【名詞】猫，ネコ，ねこ，イエネコ","【語法】家畜化された猫のことを指す．ネコ科の猛獣は含まない．
{r}"
"name","【名詞】荷物，貨物
【関連】huben","【参照】huben
{r}"
"namegarme","【名詞】トラック，荷車，貨物車","{name+harme}"
"namevuk","【名詞】貨物列車，貨物車","{name+fuk}"
"namez'ap","【名詞】貨物船","{name+s'ap}"
"nan menge","(軍)二等兵",""
"nara","【代名詞】(二人称単数敬称)貴方，あなた
【対義語】me","{u}"
"nasen","【法記述詞】(勧告の意味で)～するべきだ，～すべきだ",""
"nati","【名詞】日，一日","【語法】一日の始まりは午前０時で終わりは午後０時である．
【文化】日が昇ると今日もdiaが始まったとは思うが，natiが始まったとは思わない．コロニー生活の間に太陽の運行と一日の感覚にずれが生じた名残．
{r}"
"nedauc","【名詞】槍，なぎなた，長斧
【類義語】espar","【参照】espar
{r>i.t}"
"nedea","【名詞】(軍)士官","【文化】将，佐，尉官に分類される．元は悟りへ至った宗教指導者のうち，直接民衆へ教えを広げる神々を指した語．
{r>i.s}"
"neer","【名詞】夜
【対義語】dia
【関連】rasvet,vit'er","【語法】一日のうち，日が出ていない時がneer.太陽が空中に見えている間は夕方でも朝方でもneerである．rasvetは朝方，空が通常時とは違う色の時間帯を指し，単に朝の意味でも用いる．同様にvit'erは夕方を指す．朝夕2単語は外来語である．
【文化】イジェール人は一日を昼と夜の2つに分けて認識する．これは，コロニー生活の頃は朝焼けや夕焼けがなかったため．
{a}"
"nega","【代名詞】(三人称単数無生)何か，なにか
【対義語】dega",""
"nen","【記述詞】(遠称)どう，どういう風に","{ne+n}"
"neve","【指示代名詞】(近称)どこか","{ne+ve|場所}"
"nih","【名詞】下，下側，下の方
【対義語】sude","【語法】重力あるいは遠心力が働く方向，が原義．高低の意味を含まないので立場の上下は示さない．外側か内側かという傾向を示しているので，目のあたりを「頭の上の方」と言ったり，接触している場合でも「虫が頭の上に居る」という言い方が出来る．宇宙空間で自分を基準に上下を示したい場合は，足の方とか頭の方という語を用いる．
【文化】内側，が原義だったが意味が変化している．コロニー生活をしている間は，円筒の内側＝上，外側＝下という風に表現していた．惑星に移住してからは内側＝下，外側＝上という意味に逆転した．現在ではコロニー上であってもnihが下である．
{r|内側}"
"nihin","【記述詞】下の，下側の，下に，下側に
【対義語】suden","{nih+in}"
"nihvire","【名詞】(略)地下道，地下自動車道
【関連】nihzedarvire","【語法】地面の下の軌道が原義なので，トンネルは含まない．また，語義から言えば地下鉄は含まれるが実際使う時には地下鉄は想定されない．
{z'aman+nih+harme+fire>}"
"nihzedarvire","【名詞】(略)地下鉄，地下鉄道路線
【関連】nihvire","【語法】地下鉄車両ではなく地下鉄軌道システム全体を指す．
{z'aman+nih+sedar+fire>}"
"nudie","【動詞】(teeに)気がつく，気付く","【語法】何かの存在や変化を知覚すること．日本語だと与格を取って「～に気付く」だが，イジェール語では対格を取るので注意．
{a}"
"nume","【動詞】飲む
【対義語】koe","【語法】nume単体では「酒を飲む」という意味にはならない．
{a}"
"numesk","【名詞】飲み物，ドリンク",""
"nun-","【接頭辞】九の，ここのつの",""
"oma","【名詞】海","【文化】所謂母なる海のイメージはない．地球から移民してきたわけであって，海から生まれたわけではないというのが理由．また，塩水を湛えた巨大な水たまりを指す語であり，地球よりもそのサイズははるかに小さい場合がある．
{r}"
"omanih","【名詞】深海，海底，海の下","【語法】海の下の方から海そのものの下までを含む．"
"ome","【動詞】作る，生み出す，製作する，製造する","【語法】形を持ったもの，持たないもの，命あるもの，ないものに関わらず作る事．設計や計画段階も含むが，詳細に述べたい時はそれらに対応する語を用いる．
{r}"
"omgeh","【名詞】エンジニアリング，工学","【語法】作り出す学問，製造学問というのが原義．生産，製造にまつわる学問を指す．個々の技術そのもの，技術体系を指すわけではない．あくまで学問としての工学である．
{ome+geh}"
"oren","【法記述詞】(許可)～しても良い",""
"padoz","【名詞】(計画などの)凍結，無期限延期","{a>i.s}"
"padoze","【動詞】(行)(計画などを)凍結する，棚上げする","{padoz>}"
"padozin","【記述詞】(計画などが)凍結された，中止された","{padoz+in}"
"pam","【名詞】母
【対義語】cok","{u}"
"r'abake","【動詞】(行)大きくなる","{bakin>}"
"radasen","【記述詞】おいしい，おいしく，(味が)うまい，うまく
【対義語】demin","【語法】食品の味に対して使う語で，品質は関係ない．「良い食材」であっても「美味の食材」でなければradasenではない．
{a>i.s}"
"r'adingome","【動詞】発電する","【用例】
ze dingu ome f r'adingome.|電気を作る事を発電と言う．"
"r'adire","【動詞】(urから)出る
【対義語】idoe","【語法】内側から外へ移動する，が原義．現れるという意味はない．
{dire>}"
"r'afadeae","【動詞】(行)飛ぶ，跳ぶ，ジャンプする","【語法】物体が地面から離れること．ジャンプも飛行も含まれる．
{a}"
"r'afadee","【動詞】泣く，涙を流す","{a}"
"r'afarsiae","【動詞】苦しむ","{farsia>}"
"r'age","【動詞】(行)呼吸する，息をする，吸排気する","【語法】生物にも無生物にも使える．
{ag>}"
"ragi","【名詞】(化)液体
【対義語】ges，sudir
【関連】buta","【語法】純粋に科学の分野での液体の意味で使うほか，汁物や泥水のような混ぜ物が入った水一般にも用いる．
{a}"
"r'agidone","【動詞】(iuに)乗る",""
"ragin","【記述詞】液体の，液状の",""
"raizi","【名詞】(科)(軍)レーザー，コヒーレント光","{a>i.k}"
"raizigain","【名詞】(軍)レーザー銃","【語法】手持ちの銃．可搬のもの．
{raizi+gain}"
"raizigaunan","【名詞】(軍)レーザー砲","【語法】艦載および固定砲を指し，可搬性はない．
{raizi+kaunan}"
"r'akare","【動詞】死ぬ，亡くなる，逝去する","【語法】外的な要因無く自然の成り行きで死亡する，というんが原義．なので，主に健康に老衰で亡くなった場合を想像するのが普通．
【文化】災害など不慮の事故に巻き込まれて死んだ場合，正確を期すならば「災害がkareした|殺した」という言い方をする．報道や記録においてはこういう言い方をするべきだが，実際に遺族に面と向かって言う場合はr'akareを使うのが普通．「彼/彼女なりに人生を全うした，悔いのない人生でしたね」というお悔やみの念が入るからである．"
"rakr","【助詞】～だから，～の理由で",""
"r'aksere","【動詞】(行)戦う，決闘する，戦争する","【語法】命の取り合いをする，が原義．"
"r'akuree","【動詞】自殺する","【語法】kuree|明確な意図をもって殺す，からの派生なので，自分を明確な意図をもって殺す＝自殺となる．"
"r'akze","【動詞】(行)(nirへ)(duに乗って)行く，向かう，出発する","【語法】移動動詞で，出発する動作を示す．なので，その完了形は行ってしまった状態を表し，到着を表すわけではない．
{r}"
"r'amevere","【動詞】回る，まわる，回転する",""
"r'amugide","【動詞】曲がる",""
"rarnesenga","【固有名詞】(言)ラルネセンガ
【対義語】ankors'e","【文化】イジェール語の元となった古語のうちの一つ．語源欄のrはラルネセンガを表す．"
"r'aseene","【動詞】(行)署名する，本人確認する","【語法】元はサインすることを指していたが，現在では電子証明などを含む，すべての本人確認を指す．"
"rasvet","【名詞】朝，明け方，日の出
【対義語】vit'er
【関連】neer,dia","【参照】neer
{n:рассвет|明け方>}"
"re","【代名詞】(一人称単数)私，自分","{u}"
"redam","【名詞】(寝ている間に見る)夢","{a}"
"reeke","【動詞】(状)(人，行動，物事を)好く，好む
【関連】deve","{a}"
"reekin","【記述詞】(人，行動，物事が)好ましい，好かれる，興味をそそられる","{reek+in}"
"renke","【名詞】りんご，林檎，リンゴ","【文化】リンゴの色と言えば赤．林檎に限らず，果物は成熟した時の色を基準とする場合が多い(未熟な状態を食す物は別)．
{r>i.s}"
"r'idoe","【動詞】(nirへ)入る
【対義語】dire","{idoe>}"
"r'igare","【動詞】生きる",""
"r'uekie","【動詞】(行)自明である，自明だ","【語法】日本語と違って動詞であることに注意．
{ueki>}"
"ruk","【名詞】(ある機能を持った)道具，(衣服ではなく機能性の)装備
【名詞】走狗，(比喩的な意味での)犬，使い走り，パシリ","【語法】「政府の犬」の様な表現にはrukを用いる．
{r|道具}"
"rukin","【法記述詞】(希求)どうか～でありますように",""
"s'a(1)","【代名詞】(三人称単数有生)彼，彼女
【対義語】su","{u}"
"s'a(2)","【名詞】(数)四，4","{r>i.s}"
"saguan","【記述詞】良い，いい，よい，良く
【対義語】iduan","{r|凄い}"
"sampan","【記述詞】単純な，簡単な，シンプルな
【対義語】mozon","{a}"
"samun","【記述詞】小さい，小さく，(大中小の)小の","{a>i.s}"
"samun fedena","小惑星",""
"samun irdu","(軍)三等准尉",""
"san","【記述詞】一部の，ある，部分的な，部分の
【対義語】man","{u}"
"sanin","【記述詞】(本などの物体の厚みが)薄い，薄く，うすい
【対義語】ferin","【語法】面の広さに対して高さが小さい様．物理的な薄さに対して用い，味が薄い場合には用いない．味には強弱を用いる．価値判断を含まない．
{a}"
"s'ap","【名詞】船，艦艇","【語法】宇宙船や飛行船にはそれぞれの単語があり，船のアナロジーでは語られない．
【文化】地表面にあまり水の無い星系では船の方が宇宙船より珍しいくらいであるため，宇宙船vs車・飛行機・船 で捉えている住民が多い．
{a>i.s}"
"sarasen","【法記述詞】(提案，忠告)～した方が良い",""
"s'are","【名詞】白
【対義語】dir,badeh","【参照】dir
{r>i.s}"
"s'arebadehin","【記述詞】白黒の，モノクロの",""
"s'aren","【記述詞】白い，白く","【参照】s'are
{s'are+n}"
"sarke","【名詞】草
【関連】faren","{u}"
"sarkez'aman","【名詞】草原","【語法】立木のあまりない草の生えた平地を指す．立木が少しくらいあってもsarkez'amanである．
{sarke+z'aman}"
"satun","【名詞】石
【関連】ive","{a}"
"sbuta","【名詞】雨","{sud+buta>}"
"sbutagiresk","【名詞】雨具，レインコート，カッパ","【語法】雨具のうち，着るタイプの物．なので傘は含まない．
{sbuta+hiresk}"
"seb","【名詞】副，サブ，次点
【対義語】mia
【類義語】vees-","【語法】複合語を殆ど作らず，複合語は専らvees-が作る．
{a}"
"sebin","【記述詞】副の，サブの，次点の
【対義語】mian","{seb>}"
"sedar","【名詞】鉄，鋼鉄，Ｆｅ","【語法】基本的には純鉄のことを指すが，厳密でない場合や，専門家以外は鋼鉄のことも鉄という傾向にある．金属全体の比喩には使えない．
{a}"
"sedarvire","【名詞】鉄道","【参照】fire
{sedar+fire}"
"s'eder","【名詞】宇宙船
【対義語】fasden","【語法】民間，軍用の区別はない．通常，大気圏突入能力のない船をこう呼ぶ．
{a>i.s}"
"sedoe","【動詞】(物事，出来事を)知る","【語法】人と知り合う，という意味では使えない．単純に知識として何かを手に入れるという意味．人に対して使うと，知り合いではないが誰かを知っているというニュアンスになる．また，行為動詞であることに注意．
{u}"
"sefom","【疑問詞】誰",""
"s'eh","【名詞】元帥","【文化】軍隊のうち最高の階級だが，現在は専ら王族のみに与えられる名誉称号である．皇帝は必ず元帥の位を持つ．元は悟りへと至った最高の宗教指導者にして神である者を指す語．
{r>i.s}"
"seme","【動詞】(行)(人，物，計画等を)導く，指導する，案内する，従わせる
【関連】sirgeve","【語法】目的地まで案内することが原義だが，現在は信仰的，人格的な指導と道案内の両方に使う．導く対象の人，物，計画がteegehであることに注意．「道を」案内するとはならない．「道について」「人を」案内するのである．
{r}"
"semek","【疑問詞】何故，どうして","{semin ueki>}"
"semin","【疑問記述詞】どんな，どんな風に","【語法】英語で言うところのＨｏｗ．
{r}"
"semmak","【名詞】(軍)指揮官，司令官","{seme+mak}"
"sen","【名詞】(数)三，3","{r>i.s}"
"senei","【名詞】準備，備え
【名詞】備蓄","{r>i.s}"
"seneie","【動詞】(teeを)(iuに向けて)準備する，備える
【動詞】(事前に，万が一のために)蓄える","【語法】必要な物を，万が一のために蓄えるというニュアンス．余分な贅沢のために蓄えるのはこの単語のニュアンスに反する．
{senei>}"
"serkura","【名詞】機械
【対義語】dansen","【語法】重機や乗り物を含む機械全般を指すが，serkuraと聞くと大抵は産業ロボットやプレス機の様な大型機械を想像する．可動部が多いイメージがあり，可動部が少ないものはdansenという．
{u>i.s}"
"setem","【疑問詞】どのくらいの期間
【関連】sezik",""
"seti","【名詞】星
【関連】es'ai，fedena，veesvedena，suputnik","【語法】宇宙に浮かぶすべての物体を指す．
【文化】イジェール人はあまり自然と人工の対立で物事を捉えない傾向があるので，スペースデブリも人工衛星もsetiと呼称する．ただ，実際に使用するときに面倒な場合も多々あるので，人工衛星などは別の語がある．ことさら恒星であることを強調しない場合，星を冠した複合語はsetiで作られる．
{r}"
"setido","【名詞】大気圏突入，再突入",""
"setidoe","【動詞】(teを)(nirへ)大気圏突入させる，再突入させる","{seti+doe}"
"setisud","【名詞】星空",""
"setivaverfi","【名詞】線香花火",""
"seve","【疑問詞】どこ，何処，何所",""
"seven","【疑問詞】何",""
"sezik","【疑問詞】いつ，何時
【関連】setem",""
"sie","【間投詞】いいえ，いや，ノー
【対義語】ia","{semin ia>}"
"sien","【記述詞】?ではない，?ない","【語法】通常の記述し同様，名詞や記述詞，動詞の前に来る．sienの直後に来る語を否定する．用例に示すように，何所で否定しても文全体の意味が同じになる場合，出来るだけ分の頭に近い部分で否定しようとする傾向がある．
【用例】
hireskef sien.|着る服がない．
doreが省略されている．
hiresku sien muze.|服を着ない．
sien hiresku muze.|服を着ない．
否定する場所には気を付ける必要があるが，場合によって殆ど意味に差はない．この場合，後者の方が否定文であることが早く伝わるため好まれる．
ref narau fagave. |私はあなたを赦す．
ref narau sien fagave. |私はあなたを赦さない．
s'af sien reu ab narau fagave.|彼は私ではなく彼を赦す．
ｎｏｔ Ａ ｂｕｔ Ｂ の構文とは違い，対比の接続詞を用いる．
{u}"
"siir","【名詞】(物体の境界を越えて)下
【関連】sude,nih
【対義語】vi","【参照】vi
{r}"
"siman","【記述詞】寒い，冷たい，冷えた，寒く，冷たく
【類義語】korin
【対義語】icen","【語法】気体，液体，固体の温度が低い状態を指す．基準は自分の感覚，つまり体温である場合が多い．価値判断は中立かマイナスである．
{r}"
"sirgeve","【動詞】(人を)(強制的に)従わせる，命令通りにする，こきつかう
【関連】seme","【語法】本当はやりたくないことを，権力や金で無理にやらせること．進んで従っている場合はseme|導くを使う．
{r}"
"sit'a","【名詞】(数)七，7",""
"sivre-","【接頭辞】七の，ななつの",""
"sogin","【記述詞】すぐに，即刻，即
【関連】uien","【語法】動作の開始までが短いこと．素早く動作することとは別．
{r}"
"sone","【名詞】国，国家","【語法】政府，領域(領土を軌道上にまで拡大した概念)は別の語で表す．
{u}"
"sonegede","【名詞】国軍，正規軍
【対義語】amzonegede","【参照】kede
{sone+kede}"
"sore","【動詞】～する，(ze節を)行う，(ze節を)試みる，試す，トライする，やってみる","【語法】イジェール語一般の傾向だが，結果を内包しないのでやった結果上手く行ったかは別問題．"
"sorin","【法記述詞】(能力的に)～できる
【類義語】zerin",""
"su","【代名詞】(三人称単数無生)それ
【対義語】s'a","【語法】こそあどは「こあど」の3系統であり，suはこそあど体系の外にある．言い換えれば，英語のitと同じ立場にある．
{u}"
"sud","【名詞】空","{sude|上>}"
"sude","【名詞】上，上側，上の方
【関連】vi,siir
【対義語】nih","【参照】nih
{r|外側}"
"suden","【記述詞】上の，上側の，上に，上側に
【対義語】nihin","{sude+n}"
"s'udin","【記述詞】(物理的に，時間的に)短い
【対義語】dungin","【参照】dungin
{a}"
"sudir","【名詞】(化) 固体
【対義語】ragi，ges","{a}"
"sudirin","【記述詞】固体の，固形の",""
"supuce","【動詞】(人，物，計画等を)(立場的，金銭的に)支援する，助ける，支持する
【類義語】irbae，tuskae","【参照】tuskae
{r}"
"suputnik","【名詞】人工衛星
【関連】veesvedena，seti","【語法】外来語．元の語義は衛星も人工衛星も含むが，イジェール語では人工衛星のみを指す．
{n:спутник|衛星}"
"surua","【文記述詞】(伝聞の)～だろう，～だそうだ",""
"ta","【接続詞】(並列)と",""
"tak","【名詞】敵","{r}"
"tar-","【接頭辞】三の，みっつの",""
"tara","【名詞】木，立木
【関連】faren","{r}"
"tardien","【名詞】(数)千億","{tar+dien}"
"targisdare","【名詞】(音)三重奏，トリオ",""
"tasui","【名詞】(交通機関，仕事の)遅れ，遅さ","{t+asui}"
"te","【名詞】(数)十，10","【語法】10の倍数はteとの合成語になる．20はnade，30はsende，80はut'adeである．一の位はそのまま後続すれば良いので，21はnade ita，22はnade naである．
{r>i.s}"
"te tardien","(数)兆",""
"te tevzin","(数)万，10000",""
"teegeh","【名詞】(言)対格","{r>tee+keh}"
"tein","【法記述詞】～したい(願望，希望)","【語法】願望のムードを表す．
{r}"
"tema","【名詞】期間，時間
【関連】zik","【参照】zik
{a}"
"tenca","【名詞】とんち，屁理屈
【関連】dader","【参照】dader
{r}"
"tera","【名詞】鶏肉","【語法】食材としての鶏肉，鶏肉料理としての鶏肉どちらにも用いる．
{r>i.s}"
"tevzin","【名詞】(数)千，1000","【語法】位取りに関してはte，fendirを参照．
{a>i.s}"
"tii-","【接頭辞】対～，～対策","【語法】複合語を作る際，明らかに対策対象となっていることが分かる場合はtiiがつかないことが多い．
例)fagiresk|耐火服，sbutagiresk|レインコート
一方で2語の繋がりだけでは対策品なのかが分かりにくい場合はつける．
例)tiiraizieagiresk|レーザー防護メガネ
{r}"
"timbe","【名詞】(軍)下士官","【文化】准士官より下，兵より上の階級．叩き上げの兵のうち一部この階級となり，兵たちのまとめ役や専門知識を必要とする役務につく．
{r>i.s}"
"torun","【記述詞】(精神的に，心や意志が)弱い，貧弱な，弱く
【類義語】vien
【対義語】huten","【参照】huten
{r|つらい}"
"tu","【指示代名詞】(遠称)あれ","{u}"
"tuire","【動詞】(行)(teeを)讃える，祝福する，褒める，誉める，ほめる","{r>i.t}"
"tun","【記述詞】(遠称)あの，ああいう風に，あんな","{tu+n}"
"ture","【動詞】(hurから)(teeを)奪う，奪取する，盗る，取る，盗む
【類義語】adeae","【語法】本来hurにあるべきものをhurから引き離して自分の元へ寄越す，が原義．マイナスイメージの語．
{r}"
"tuskae","【動詞】(人，機械等を)(物理的に)助ける
【類義語】irbae,supuce","【語法】tuskaeは例えば物がない人に物を貸したり，落ちそうなときに手を取ったりすることである．話を聞いたり，精神的な支えとなる場合はirbaeを，後見人になったりパトロンになったりして立場的に支援する場合はsupuceを用いる．
{r}"
"tuve","【指示代名詞】(遠称)あそこ","{tu+ve|場所}"
"ude","【助詞】の様に，約，およそ，大体，大まかに言って","【語法】数字の後につける．
{r}"
"uegi","【名詞】(音)声楽，歌，うた，唄
【関連】kisdare","【語法】人間の音声がリズムに乗って流れているもののこと．なのでアカペラ，詩歌を含み，インストゥルメンタルを含まない．
{r}"
"uegie","【動詞】(音)(行)歌う，うたう，唄う，謡う，詠う
【関連】m'ezike","【語法】旋律に詞を乗せて口で奏でること．なので，朗々とテンポよく演説する様を表すなどの比喩にも使える．腕や腹で音を出して演奏するのはuegieではない．ボイスパーカッションがどちらに入るかは感覚による．上手ならm'ezikeと言われがち．
{uegi>}"
"uek","【名詞】皇帝府，宮内庁","【語法】皇帝を中心とした政治中枢を，特に宗教的な響きで捉えた語．
【文化】帝国の宗教的最高権威はここにある．国教としての規範を制定するのも皇帝府の役割である．
{r|大奥}"
"ueki","【名詞】理由，原因","{r}"
"uemin","【記述詞】暖かい，あたたかい，暖かく，あたたかく，ぬくい
【類義語】icen
【対義語】korin","【語法】気体，液体，固体の温度が高い状態を指す．基準は自分の感覚，つまり体温である場合が多い．価値判断はプラスである．
{a}"
"uerte","【名詞】世界，全世界","{a}"
"ugor'","【名詞】ウナギ，鰻","{n:угорь|鰻>}"
"uiee","【動詞】(teeを)速くする，早くする，加速させる
【動詞】(のんびりしている人を，緊張感の足りない人を)せかす，急がせる，尻に火をつける
【対義語】asuie",""
"uien","【記述詞】はやい，早い，速い，はやく，早く，速く
【対義語】asuin
【関連】sogin","【語法】速度を測る指標であって，加速度を測る指標ではない．また，行動開始までの時間を短くするという意味での「すぐに」はsoginを用いる．
{r>i.s}"
"uievire","【名詞】(略)高速道路，高速自動車道","【語法】法律上の正式名称はuiegarmevire．
{uie+harme+fire>}"
